anio_fuego,ini_dia_a,fin_dia_a,lon_a,n50_a,c10_a,dtot_a,nd95_a,d95ptot_a,ini_dia_b,fin_dia_b,lon_b,n50_b,c10_b,dtot_b,nd95_b,d95ptot_b,dif_ini_dia,dif_fin_dia,dif_lon,dif_n50,dif_c10,z_dtot_a,z_dtot_b,z_nd95_a,z_nd95_b,z_d95ptot_a,z_d95ptot_b
2013,133,237,105,27,26.8,1739,10,26.8,151,238,88,31,23.7,8562,17,34.3,18,1,-17,4,-3.1000000000000014,1.46,1.4,0.78,0.83,0.22,0.47
2014,132,237,106,25,27.6,1371,6,19.3,160,237,78,27,24.9,6526,10,24.9,28,0,-28,2,-2.700000000000003,0.55,0.43,-0.24,-0.14,-0.35,-0.1
2015,146,240,95,25,25.5,1512,12,29.8,166,239,74,26,26,6664,16,36.9,20,-1,-21,1,0.5,0.9,0.5,1.29,0.69,0.45,0.62
2016,145,234,90,23,32.2,1706,9,30.5,164,233,70,25,28.2,8077,21,45.5,19,-1,-20,2,-4.0000000000000036,1.38,1.17,0.53,1.38,0.5,1.14
2017,143,227,85,21,31.1,993,7,23.1,157,229,73,25,24.7,4427,5,13.8,14,2,-12,4,-6.400000000000002,-0.39,-0.57,0.02,-0.83,-0.06,-0.77
2018,152,236,85,20,33.5,1066,7,25.8,164,233,70,24,27.1,5772,12,31.1,12,-3,-15,4,-6.399999999999999,-0.21,0.07,0.02,0.14,0.14,0.27
2019,144,235,92,21,32.1,1298,8,27.9,158,235,78,26,25.3,7229,18,39.4,14,0,-14,5,-6.800000000000001,0.37,0.76,0.27,0.97,0.3,0.77
2020,153,235,83,17,35.7,1151,10,35.7,169,235,67,26,23.4,6058,14,31.3,16,0,-16,9,-12.300000000000004,0,0.21,0.78,0.41,0.89,0.28
2021,142,238,97,20,33.9,596,2,12.4,152,236,85,23,31.2,2445,1,4.5,10,-2,-12,3,-2.6999999999999993,-1.38,-1.51,-1.25,-1.38,-0.88,-1.34
2022,149,210,62,14,42.9,1164,10,42.9,162,222,61,19,35.8,6015,13,41.6,13,12,-1,5,-7.100000000000001,0.03,0.19,0.78,0.28,1.44,0.91
2023,150,259,110,25,25.1,700,0,0,152,252,101,30,23.1,2964,0,0,2,-7,-9,5,-2,-1.12,-1.26,-1.76,-1.52,-1.82,-1.61
2024,153,237,85,16,39.1,1240,9,37,168,237,70,21,30.3,6469,16,42.6,15,0,-15,5,-8.8,0.22,0.4,0.53,0.69,0.99,0.97
2025,153,240,88,20,31.7,419,0,0,161,243,83,28,25.9,1827,0,0,8,3,-5,8,-5.800000000000001,-1.82,-1.8,-1.76,-1.52,-1.82,-1.61
