celda_id,area_km2,anio_inicio,anio_fin,dtot_a,dtot_b,ini_dia_a,ini_dia_b,fin_dia_a,fin_dia_b,lon_a,lon_b,dens_a,dens_b,valida_a,valida_b,sin_estacion_a,sin_estacion_b,acuerdo,acuerdo_codigo,dif_ini,dif_fin,dif_lon
c0805_m08295,17.572,2013,2025,0,34,NA,189,NA,223,NA,35,0,0.1488,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c0815_m08295,24.687,2013,2025,4,51,NA,196,NA,223,NA,28,0.0125,0.1589,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c0815_m08305,8.411,2013,2025,1,12,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c0825_m08295,2.692,2013,2025,1,4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c0825_m08305,34.742,2013,2025,2,60,NA,176,NA,225,NA,50,0.0044,0.1328,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c0825_m08315,28.184,2013,2025,1,23,NA,NA,NA,NA,NA,NA,0.0027,0.0628,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c0835_m08295,19.461,2013,2025,4,8,NA,NA,NA,NA,NA,NA,0.0158,0.0316,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
c0835_m08305,98.126,2013,2025,16,103,NA,181,NA,213,NA,33,0.0125,0.0807,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c0835_m08315,91.09,2013,2025,20,161,NA,183,NA,219,NA,37,0.0169,0.136,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c0835_m08335,55.868,2013,2025,5,38,NA,187,NA,231,NA,45,0.0069,0.0523,FALSE,TRUE,FALSE,FALSE,solo_b,2,NA,NA,NA
c0835_m08345,37.569,2013,2025,5,10,NA,NA,NA,NA,NA,NA,0.0102,0.0205,FALSE,FALSE,FALSE,FALSE,ninguna,4,NA,NA,NA
