siglas_ac,nombre_ac,anio,detecciones,hectareas
ACAHN,Huetar Norte,2001,61,492
ACAHN,Huetar Norte,2002,52,21
ACAHN,Huetar Norte,2003,199,3335
ACAHN,Huetar Norte,2004,73,214
ACAHN,Huetar Norte,2005,141,235
ACAHN,Huetar Norte,2006,101,299
ACAHN,Huetar Norte,2007,89,214
ACAHN,Huetar Norte,2008,192,4062
ACAHN,Huetar Norte,2009,61,599
ACAHN,Huetar Norte,2010,77,1069
ACAHN,Huetar Norte,2011,54,962
ACAHN,Huetar Norte,2012,45,278
ACAHN,Huetar Norte,2013,62,1261
ACAHN,Huetar Norte,2014,73,1219
ACAHN,Huetar Norte,2015,40,321
ACAHN,Huetar Norte,2016,150,11417
ACAHN,Huetar Norte,2017,52,192
ACAHN,Huetar Norte,2018,30,21
ACAHN,Huetar Norte,2019,55,855
ACAHN,Huetar Norte,2020,53,898
ACAHN,Huetar Norte,2021,31,0
ACAHN,Huetar Norte,2022,29,0
ACAHN,Huetar Norte,2023,72,150
ACAHN,Huetar Norte,2024,127,941
ACAHN,Huetar Norte,2025,51,86
ACAHN,Huetar Norte,2026,60,64
ACAT,Arenal Tempisque,2001,159,9236
ACAT,Arenal Tempisque,2002,171,4810
ACAT,Arenal Tempisque,2003,368,9621
ACAT,Arenal Tempisque,2004,331,6841
ACAT,Arenal Tempisque,2005,216,3357
ACAT,Arenal Tempisque,2006,142,2394
ACAT,Arenal Tempisque,2007,173,4190
ACAT,Arenal Tempisque,2008,159,5259
ACAT,Arenal Tempisque,2009,145,5024
ACAT,Arenal Tempisque,2010,215,8616
ACAT,Arenal Tempisque,2011,184,4917
ACAT,Arenal Tempisque,2012,205,7248
ACAT,Arenal Tempisque,2013,446,18878
ACAT,Arenal Tempisque,2014,261,10754
ACAT,Arenal Tempisque,2015,347,14645
ACAT,Arenal Tempisque,2016,352,11502
ACAT,Arenal Tempisque,2017,229,9193
ACAT,Arenal Tempisque,2018,265,12464
ACAT,Arenal Tempisque,2019,231,11566
ACAT,Arenal Tempisque,2020,196,10027
ACAT,Arenal Tempisque,2021,138,5879
ACAT,Arenal Tempisque,2022,270,10818
ACAT,Arenal Tempisque,2023,148,7119
ACAT,Arenal Tempisque,2024,271,8509
ACAT,Arenal Tempisque,2025,161,8701
ACAT,Arenal Tempisque,2026,285,11139
ACC,Central,2001,54,321
ACC,Central,2002,26,0
ACC,Central,2003,67,428
ACC,Central,2004,49,0
ACC,Central,2005,33,171
ACC,Central,2006,35,0
ACC,Central,2007,56,192
ACC,Central,2008,24,0
ACC,Central,2009,52,342
ACC,Central,2010,20,0
ACC,Central,2011,14,0
ACC,Central,2012,61,1026
ACC,Central,2013,48,128
ACC,Central,2014,59,0
ACC,Central,2015,49,0
ACC,Central,2016,72,0
ACC,Central,2017,73,941
ACC,Central,2018,51,0
ACC,Central,2019,70,43
ACC,Central,2020,60,21
ACC,Central,2021,33,0
ACC,Central,2022,72,0
ACC,Central,2023,78,0
ACC,Central,2024,55,0
ACC,Central,2025,20,0
ACC,Central,2026,18,0
ACG,Guanacaste,2001,134,11631
ACG,Guanacaste,2002,121,8701
ACG,Guanacaste,2003,341,12764
ACG,Guanacaste,2004,283,11182
ACG,Guanacaste,2005,292,10497
ACG,Guanacaste,2006,151,7632
ACG,Guanacaste,2007,215,10562
ACG,Guanacaste,2008,178,6735
ACG,Guanacaste,2009,194,10305
ACG,Guanacaste,2010,214,6157
ACG,Guanacaste,2011,243,6264
ACG,Guanacaste,2012,154,7248
ACG,Guanacaste,2013,385,17553
ACG,Guanacaste,2014,293,18857
ACG,Guanacaste,2015,215,10733
ACG,Guanacaste,2016,260,9386
ACG,Guanacaste,2017,184,9706
ACG,Guanacaste,2018,267,14560
ACG,Guanacaste,2019,276,12635
ACG,Guanacaste,2020,250,10989
ACG,Guanacaste,2021,155,9428
ACG,Guanacaste,2022,199,14410
ACG,Guanacaste,2023,204,10113
ACG,Guanacaste,2024,199,5965
ACG,Guanacaste,2025,74,5110
ACG,Guanacaste,2026,289,11780
ACLAC,La Amistad Caribe,2002,2,0
ACLAC,La Amistad Caribe,2003,4,0
ACLAC,La Amistad Caribe,2004,6,0
ACLAC,La Amistad Caribe,2005,5,0
ACLAC,La Amistad Caribe,2006,7,0
ACLAC,La Amistad Caribe,2007,23,21
ACLAC,La Amistad Caribe,2008,21,0
ACLAC,La Amistad Caribe,2009,7,64
ACLAC,La Amistad Caribe,2010,9,0
ACLAC,La Amistad Caribe,2011,12,0
ACLAC,La Amistad Caribe,2012,12,43
ACLAC,La Amistad Caribe,2013,11,0
ACLAC,La Amistad Caribe,2014,19,0
ACLAC,La Amistad Caribe,2015,12,0
ACLAC,La Amistad Caribe,2016,11,0
ACLAC,La Amistad Caribe,2017,15,0
ACLAC,La Amistad Caribe,2018,13,0
ACLAC,La Amistad Caribe,2019,18,0
ACLAC,La Amistad Caribe,2020,29,0
ACLAC,La Amistad Caribe,2021,14,0
ACLAC,La Amistad Caribe,2022,17,0
ACLAC,La Amistad Caribe,2023,20,0
ACLAC,La Amistad Caribe,2024,48,257
ACLAC,La Amistad Caribe,2025,10,0
ACLAC,La Amistad Caribe,2026,4,21
ACLAP,La Amistad Pacifico,2001,121,6435
