anio_fuego,vegetacion,sin_tipo,volcan_activo,fuente_estatica,mar,excluidas
2001,775,0,16,3,2,21
2002,599,0,15,6,2,23
2003,1657,0,65,12,2,79
2004,1399,0,41,16,1,58
2005,1008,0,63,29,2,94
2006,884,0,56,21,1,78
2007,1074,0,53,32,2,87
2008,782,0,46,27,1,74
2009,955,0,38,20,5,63
2010,989,0,22,24,2,48
2011,782,0,0,24,2,26
2012,1147,0,0,29,0,29
2013,1739,0,0,23,2,25
2014,1371,0,0,28,0,28
2015,1512,0,0,26,5,31
2016,1706,0,0,42,0,42
2017,993,0,7,59,4,70
2018,1066,0,5,35,5,45
2019,1298,0,0,61,1,62
2020,1151,0,0,61,6,67
2021,596,0,0,66,4,70
2022,1164,0,0,73,2,75
2023,700,0,0,87,4,91
2024,1240,0,1,76,2,79
2025,419,0,0,42,0,42
2026,1082,4,0,21,0,21
