anio_fuego,oni_djf,fase,dtot,ini_dia,fin_dia,lon,n50,c10,frpi,nd95,d95ptot,no_comparable,z_dtot,z_nd95,z_d95ptot
2002,-0.15,neutra,599,133,243,111,17,37.7,15.4,1,9.2,TRUE,NA,NA,NA
2003,0.9,El Niño,1657,131,232,102,24,29.4,17.5,11,31.3,FALSE,1.54,1.28,0.79
2004,0.34,neutra,1399,144,235,92,22,32,18.3,10,32,FALSE,0.74,0.98,0.86
2005,0.62,El Niño,1008,125,239,115,29,22.5,16.6,1,3,FALSE,-0.49,-1.7,-1.99
2006,-0.86,La Niña,884,135,241,107,24,28.4,15.6,2,8.1,FALSE,-0.87,-1.4,-1.49
2007,0.62,El Niño,1074,142,229,88,19,34.7,14.8,6,25.2,FALSE,-0.28,-0.21,0.19
2008,-1.76,La Niña,782,139,249,111,19,33,16,3,13.3,FALSE,-1.19,-1.1,-0.97
2009,-0.89,La Niña,955,159,239,81,21,29.4,15.8,4,14.3,FALSE,-0.65,-0.8,-0.88
2010,1.47,El Niño,989,115,231,117,21,32.4,16,5,20,FALSE,-0.55,-0.51,-0.32
2011,-1.29,La Niña,782,129,243,115,23,31.3,15.3,3,12.1,FALSE,-1.19,-1.1,-1.09
2012,-0.71,La Niña,1147,139,227,89,18,35.8,15.7,8,31,FALSE,-0.05,0.39,0.76
2013,-0.24,neutra,1739,133,237,105,27,26.8,16.1,10,26.8,FALSE,1.8,0.98,0.35
2014,-0.24,neutra,1371,132,237,106,25,27.6,16.6,6,19.3,FALSE,0.65,-0.21,-0.39
2015,0.73,El Niño,1512,146,240,95,25,25.5,16.1,12,29.8,FALSE,1.09,1.58,0.65
2016,2.5,El Niño,1706,145,234,90,23,32.2,17.4,9,30.5,FALSE,1.7,0.69,0.71
2017,-0.08,neutra,993,143,227,85,21,31.1,16.8,7,23.1,FALSE,-0.53,0.09,-0.01
2018,-0.71,La Niña,1066,152,236,85,20,33.5,16.2,7,25.8,FALSE,-0.31,0.09,0.25
2019,0.99,El Niño,1298,144,235,92,21,32.1,15.8,8,27.9,FALSE,0.42,0.39,0.46
2020,0.71,El Niño,1151,153,235,83,17,35.7,15.5,10,35.7,FALSE,-0.04,0.98,1.23
2021,-0.99,La Niña,596,142,238,97,20,33.9,15.6,2,12.4,FALSE,-1.77,-1.4,-1.06
2022,-0.76,La Niña,1164,149,210,62,14,42.9,15.1,10,42.9,FALSE,0,0.98,1.93
2023,-0.55,La Niña,700,150,259,110,25,25.1,15.7,0,0,FALSE,-1.45,-2,-2.28
2024,1.84,El Niño,1240,153,237,85,16,39.1,15.1,9,37,FALSE,0.24,0.69,1.35
2025,-0.46,neutra,419,153,240,88,20,31.7,12.9,0,0,FALSE,-2.33,-2,-2.28
