anio,detecciones,hectareas,frp_promedio,frp_maximo
2001,836,41582,25,321.4
2002,733,27793,23.6,396.2
2003,1671,39317,25.3,467.3
2004,1499,32026,32.4,798.6
2005,1082,17531,24.4,415.6
2006,947,16248,22.6,350.7
2007,1134,30808,21.1,177
2008,848,18964,26.3,859.8
2009,1091,27921,24.6,315.2
2010,980,28306,23.4,379.3
2011,811,15799,24.2,260.3
2012,1236,33886,24,418
2013,1745,57660,25,387.6
2014,1370,43358,26.8,691.8
2015,1579,49535,24.5,358
2016,1690,54560,27.1,482.2
2017,1059,33010,27.5,308.6
2018,1137,41348,24.3,322.1
2019,1334,45944,22.9,243.7
2020,1231,35554,24.3,478.5
2021,670,21550,23.5,253.7
2022,1221,51866,23.5,337
2023,835,25783,25.9,673.7
2024,1250,30081,24.3,270.7
2025,462,17681,25.2,558.9
2026,1069,35019,24.9,407.1
