siglas_ac,nombre_ac,anio_fuego,dtot,df,ini_dia,ini_fecha,fin_dia,fin_fecha,lon,n50,c10,frpi,frp95,aq,noc,nd95,d95p,d95ptot,p95,z_dtot,dias_base_p95,parcial,provisional,pocas_detecciones,no_comparable
ACAHN,Huetar Norte,2001,35,8,NA,NA,NA,NA,NA,NA,NA,12.6,NA,0,0.286,2,19,54.3,7,-0.69,572,TRUE,FALSE,TRUE,TRUE
ACAHN,Huetar Norte,2002,17,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,-1.14,572,FALSE,FALSE,TRUE,TRUE
ACAHN,Huetar Norte,2003,141,42,184,2003-03-03,239,2003-04-27,56,9,58.2,16.2,56.7,0.702,0.099,4,43,30.5,7,1.99,572,FALSE,FALSE,FALSE,FALSE
ACAHN,Huetar Norte,2004,24,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,-0.96,572,FALSE,FALSE,TRUE,FALSE
ACAHN,Huetar Norte,2005,64,25,NA,NA,NA,NA,NA,NA,NA,16,NA,0.938,0,2,25,39.1,7,0.05,572,FALSE,FALSE,TRUE,FALSE
ACAHN,Huetar Norte,2006,61,27,NA,NA,NA,NA,NA,NA,NA,19.3,NA,0.803,0,0,0,0,7,-0.03,572,FALSE,FALSE,TRUE,FALSE
ACAHN,Huetar Norte,2007,44,26,NA,NA,NA,NA,NA,NA,NA,11.9,NA,0.841,0,0,0,0,7,-0.46,572,FALSE,FALSE,TRUE,FALSE
ACAHN,Huetar Norte,2008,137,51,153,2008-01-31,249,2008-05-06,97,7,57.7,15.4,51.7,0.796,0.051,6,64,46.7,7,1.89,572,FALSE,FALSE,FALSE,FALSE
ACAHN,Huetar Norte,2009,33,24,NA,NA,NA,NA,NA,NA,NA,14.4,NA,0.727,0,0,0,0,7,-0.74,572,FALSE,FALSE,TRUE,FALSE
ACAHN,Huetar Norte,2010,63,21,NA,NA,NA,NA,NA,NA,NA,15,NA,0.619,0.143,1,8,12.7,7,0.02,572,FALSE,FALSE,TRUE,FALSE
