siglas_ac,nombre_ac,area_km2,dtot,fuera,ini_dia,fin_dia,lon,df,n50f,dtot_base,dens,frpi,aq,valida,sin_estacion,valida_n50f,valida_base,anio_inicio,anio_fin,base_inicio,base_fin
ACT,Tempisque,5149,6872,2.2,146,232,87,1709,0.157,6107,0.0593,15.8,0.551,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
ACAT,Arenal Tempisque,3690.3,5575,2.2,130,237,108,1730,0.206,4869,0.066,17.4,0.499,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
ACG,Guanacaste,2935.7,5273,2.7,136,241,106,1652,0.187,4706,0.0802,19.2,0.636,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
ACLAP,La Amistad Pacifico,5557.7,2841,1.2,153,214,62,900,0.173,2592,0.0233,15.1,0.612,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
ACOPAC,Pacifico Central,2770.8,2008,1,137,228,92,891,0.214,1828,0.033,14.5,0.556,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
ACAHN,Huetar Norte,8923.5,1511,13,108,254,147,675,0.191,1243,0.007,14.1,0.722,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
ACOSA,Osa,4287.4,987,0.9,163,219,57,521,0.253,929,0.0108,15.5,0.752,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
ACC,Central,8608.9,861,1.6,158,226,69,461,0.241,748,0.0043,12.9,0.492,TRUE,FALSE,TRUE,TRUE,2002,2025,2003,2022
ACLAC,La Amistad Caribe,6067.9,199,25.1,NA,NA,NA,134,0.284,157,0.0013,10.9,0.834,TRUE,TRUE,TRUE,TRUE,2002,2025,2003,2022
ACTo,Tortuguero,3049.2,94,41.5,NA,NA,NA,82,NA,85,0.0014,10.8,0.682,TRUE,TRUE,FALSE,TRUE,2002,2025,2003,2022
