anio_fuego,dtot,df,ini_dia,ini_fecha,fin_dia,fin_fecha,lon,n50,c10,frpi,frp95,aq,noc,nd95,d95p,d95ptot,p95,parcial,provisional,pocas_detecciones,no_comparable
2001,775,99,160,2001-02-07,245,2001-05-03,86,19,31.4,16.6,79.7,0,0.187,1,30,3.9,29,TRUE,FALSE,FALSE,TRUE
2002,599,107,133,2002-01-11,243,2002-05-01,111,17,37.7,15.4,63.4,0.008,0.204,1,55,9.2,29,FALSE,FALSE,FALSE,TRUE
2003,1657,162,131,2003-01-09,232,2003-04-20,102,24,29.4,17.5,70.5,0.599,0.108,11,518,31.3,29,FALSE,FALSE,FALSE,FALSE
2004,1399,153,144,2004-01-22,235,2004-04-22,92,22,32,18.3,113,0.564,0.17,10,447,32,29,FALSE,FALSE,FALSE,FALSE
2005,1008,151,125,2005-01-03,239,2005-04-27,115,29,22.5,16.6,78.2,0.627,0.145,1,30,3,29,FALSE,FALSE,FALSE,FALSE
2006,884,131,135,2006-01-13,241,2006-04-29,107,24,28.4,15.6,61.2,0.621,0.057,2,72,8.1,29,FALSE,FALSE,FALSE,FALSE
2007,1074,136,142,2007-01-20,229,2007-04-17,88,19,34.7,14.8,56.9,0.595,0.124,6,271,25.2,29,FALSE,FALSE,FALSE,FALSE
2008,782,119,139,2008-01-17,249,2008-05-06,111,19,33,16,76,0.619,0.147,3,104,13.3,29,FALSE,FALSE,FALSE,FALSE
2009,955,124,159,2009-02-06,239,2009-04-27,81,21,29.4,15.8,80.5,0.609,0.136,4,137,14.3,29,FALSE,FALSE,FALSE,FALSE
2010,989,126,115,2009-12-24,231,2010-04-19,117,21,32.4,16,73.4,0.555,0.191,5,198,20,29,FALSE,FALSE,FALSE,FALSE
2011,782,131,129,2011-01-07,243,2011-05-01,115,23,31.3,15.3,70.6,0.604,0.119,3,95,12.1,29,FALSE,FALSE,FALSE,FALSE
2012,1147,145,139,2012-01-17,227,2012-04-14,89,18,35.8,15.7,71.1,0.607,0.221,8,355,31,29,FALSE,FALSE,FALSE,FALSE
2013,1739,166,133,2013-01-11,237,2013-04-25,105,27,26.8,16.1,73,0.576,0.24,10,466,26.8,29,FALSE,FALSE,FALSE,FALSE
2014,1371,154,132,2014-01-10,237,2014-04-25,106,25,27.6,16.6,83.1,0.564,0.23,6,264,19.3,29,FALSE,FALSE,FALSE,FALSE
2015,1512,165,146,2015-01-24,240,2015-04-28,95,25,25.5,16.1,73.6,0.539,0.321,12,451,29.8,29,FALSE,FALSE,FALSE,FALSE
2016,1706,176,145,2016-01-23,234,2016-04-21,90,23,32.2,17.4,79.5,0.584,0.277,9,521,30.5,29,FALSE,FALSE,FALSE,FALSE
2017,993,128,143,2017-01-21,227,2017-04-15,85,21,31.1,16.8,88.3,0.59,0.261,7,229,23.1,29,FALSE,FALSE,FALSE,FALSE
2018,1066,144,152,2018-01-30,236,2018-04-24,85,20,33.5,16.2,72.9,0.579,0.205,7,275,25.8,29,FALSE,FALSE,FALSE,FALSE
2019,1298,151,144,2019-01-22,235,2019-04-23,92,21,32.1,15.8,65.3,0.594,0.218,8,362,27.9,29,FALSE,FALSE,FALSE,FALSE
2020,1151,135,153,2020-01-31,235,2020-04-22,83,17,35.7,15.5,76.2,0.553,0.268,10,411,35.7,29,FALSE,FALSE,FALSE,FALSE
2021,596,119,142,2021-01-20,238,2021-04-26,97,20,33.9,15.6,77.8,0.574,0.208,2,74,12.4,29,FALSE,FALSE,FALSE,FALSE
2022,1164,125,149,2022-01-27,210,2022-03-29,62,14,42.9,15.1,67.2,0.54,0.237,10,499,42.9,29,FALSE,FALSE,FALSE,FALSE
2023,700,128,150,2023-01-28,259,2023-05-17,110,25,25.1,15.7,87.3,0.564,0.211,0,0,0,29,FALSE,FALSE,FALSE,FALSE
2024,1240,143,153,2024-01-31,237,2024-04-24,85,16,39.1,15.1,78.4,0.631,0.236,9,459,37,29,FALSE,FALSE,FALSE,FALSE
2025,419,104,153,2025-01-31,240,2025-04-28,88,20,31.7,12.9,103.4,0.601,0.305,0,0,0,29,FALSE,FALSE,FALSE,FALSE
2026,1086,135,151,2026-01-29,241,2026-04-29,91,22,30.8,13.1,82,0.579,0.337,7,260,23.9,29,FALSE,TRUE,FALSE,FALSE
2027,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,29,TRUE,TRUE,TRUE,TRUE
