anio_fuego,oni_djf,fase,dtot,ini_dia,fin_dia,lon,n50,c10,frpi,nd95,d95ptot,no_comparable,z_dtot,z_nd95,z_d95ptot
2013,-0.24,neutra,8562,151,238,88,31,23.7,4.3,17,34.3,FALSE,1.4,0.83,0.47
2014,-0.24,neutra,6526,160,237,78,27,24.9,4.6,10,24.9,FALSE,0.43,-0.14,-0.1
2015,0.73,El Niño,6664,166,239,74,26,26,4.4,16,36.9,FALSE,0.5,0.69,0.62
2016,2.5,El Niño,8077,164,233,70,25,28.2,4.7,21,45.5,FALSE,1.17,1.38,1.14
2017,-0.08,neutra,4427,157,229,73,25,24.7,4.6,5,13.8,FALSE,-0.57,-0.83,-0.77
2018,-0.71,La Niña,5772,164,233,70,24,27.1,4.5,12,31.1,FALSE,0.07,0.14,0.27
2019,0.99,El Niño,7229,158,235,78,26,25.3,4.3,18,39.4,FALSE,0.76,0.97,0.77
2020,0.71,El Niño,6058,169,235,67,26,23.4,4.5,14,31.3,FALSE,0.21,0.41,0.28
2021,-0.99,La Niña,2445,152,236,85,23,31.2,4.6,1,4.5,FALSE,-1.51,-1.38,-1.34
2022,-0.76,La Niña,6015,162,222,61,19,35.8,4.3,13,41.6,FALSE,0.19,0.28,0.91
2023,-0.55,La Niña,2964,152,252,101,30,23.1,4.3,0,0,FALSE,-1.26,-1.52,-1.61
2024,1.84,El Niño,6469,168,237,70,21,30.3,4.8,16,42.6,FALSE,0.4,0.69,0.97
2025,-0.46,neutra,1827,161,243,83,28,25.9,4.8,0,0,FALSE,-1.8,-1.52,-1.61
