siglas_ac,nombre_ac,anio_fuego,dtot,df,ini_dia,ini_fecha,fin_dia,fin_fecha,lon,n50,c10,frpi,frp95,aq,noc,nd95,d95p,d95ptot,p95,z_dtot,dias_base_p95,parcial,provisional,pocas_detecciones,no_comparable
ACAHN,Huetar Norte,2012,173,53,171,2012-02-18,292,2012-06-18,122,10,51.4,5.3,20.9,NA,0.052,0,0,0,14,-0.87,1123,TRUE,FALSE,FALSE,FALSE
ACAHN,Huetar Norte,2013,413,88,129,2013-01-07,251,2013-05-09,123,16,39,4.9,18.1,NA,0.044,4,87,21.1,14,0.19,1123,FALSE,FALSE,FALSE,FALSE
ACAHN,Huetar Norte,2014,473,110,113,2013-12-22,254,2014-05-12,142,18,34.2,4.6,20.4,NA,0.18,5,96,20.3,14,0.45,1123,FALSE,FALSE,FALSE,FALSE
ACAHN,Huetar Norte,2015,148,55,115,2014-12-24,256,2015-05-14,142,11,47.3,5,17.4,NA,0.223,1,18,12.2,14,-0.98,1123,FALSE,FALSE,FALSE,FALSE
ACAHN,Huetar Norte,2016,963,115,191,2016-03-09,254,2016-05-11,64,11,48.4,4.9,21,NA,0.161,17,609,63.2,14,2.61,1123,FALSE,FALSE,FALSE,FALSE
ACAHN,Huetar Norte,2017,253,77,97,2016-12-06,243,2017-05-01,147,15,40.7,4.8,15.4,NA,0.091,2,34,13.4,14,-0.52,1123,FALSE,FALSE,FALSE,FALSE
ACAHN,Huetar Norte,2018,201,67,80,2017-11-19,251,2018-05-09,172,13,42.8,5.2,15.2,NA,0.045,1,25,12.4,14,-0.75,1123,FALSE,FALSE,FALSE,FALSE
ACAHN,Huetar Norte,2019,507,106,150,2019-01-28,257,2019-05-15,108,15,42.6,5.5,17.6,NA,0.114,6,169,33.3,14,0.6,1123,FALSE,FALSE,FALSE,FALSE
ACAHN,Huetar Norte,2020,337,85,101,2019-12-10,269,2020-05-26,169,12,47.5,5,15.9,NA,0.074,4,108,32,14,-0.15,1123,FALSE,FALSE,FALSE,FALSE
ACAHN,Huetar Norte,2021,187,79,70,2020-11-09,306,2021-07-03,237,18,35.8,3.8,12.3,NA,0.166,0,0,0,14,-0.81,1123,FALSE,FALSE,FALSE,FALSE
ACAHN,Huetar Norte,2022,172,65,58,2021-10-28,253,2022-05-11,196,14,42.4,4.4,14.3,NA,0.052,1,21,12.2,14,-0.87,1123,FALSE,FALSE,FALSE,FALSE
ACAHN,Huetar Norte,2023,366,100,73,2022-11-12,274,2023-06-01,202,14,41.8,4.9,14.5,NA,0.057,4,85,23.2,14,-0.02,1123,FALSE,FALSE,FALSE,FALSE
ACAHN,Huetar Norte,2024,580,105,133,2024-01-11,252,2024-05-09,120,16,37.9,5.2,22.1,NA,0.091,9,206,35.5,14,0.93,1123,FALSE,FALSE,FALSE,FALSE
