siglas_ac,nombre_ac,area_km2,dtot,fuera,ini_dia,fin_dia,lon,df,n50f,dtot_base,dens,frpi,aq,valida,sin_estacion,valida_n50f,valida_base,anio_inicio,anio_fin,base_inicio,base_fin
ACT,Tempisque,5149,22693,0.7,169,229,61,1616,0.105,22693,0.339,4,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
ACG,Guanacaste,2935.7,13218,1.8,165,243,79,1567,0.137,13218,0.3463,5.1,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
ACAT,Arenal Tempisque,3690.3,12559,1.6,154,237,84,1680,0.148,12559,0.2618,4.6,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
ACLAP,La Amistad Pacifico,5557.7,6159,2.1,155,219,65,1087,0.158,6159,0.0852,4.8,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
ACOPAC,Pacifico Central,2770.8,5905,0.6,161,227,67,1127,0.144,5905,0.1639,4.6,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
ACAHN,Huetar Norte,8923.5,4814,13.6,118,257,140,1123,0.129,4814,0.0415,5,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
ACC,Central,8608.9,3675,4,149,230,82,1179,0.173,3675,0.0328,3.7,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
ACOSA,Osa,4287.4,2599,0.3,166,216,51,667,0.181,2599,0.0466,5.1,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
ACLAC,La Amistad Caribe,6067.9,1018,19,65,247,183,461,0.202,1018,0.0129,4.3,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
ACTo,Tortuguero,3049.2,287,26.1,NA,NA,NA,182,0.286,287,0.0072,4,NA,TRUE,TRUE,TRUE,TRUE,2013,2025,2013,2025
