anio_fuego,dtot,df,ini_dia,ini_fecha,fin_dia,fin_fecha,lon,n50,c10,frpi,frp95,aq,noc,nd95,d95p,d95ptot,p95,parcial,provisional,pocas_detecciones,no_comparable
2012,5350,142,172,2012-02-19,228,2012-04-15,57,19,31.9,4.5,18.6,NA,0.222,14,2170,40.6,108.8,TRUE,FALSE,FALSE,FALSE
2013,8562,221,151,2013-01-29,238,2013-04-26,88,31,23.7,4.3,19,NA,0.278,17,2936,34.3,108.8,FALSE,FALSE,FALSE,FALSE
2014,6526,248,160,2014-02-07,237,2014-04-25,78,27,24.9,4.6,21.2,NA,0.217,10,1626,24.9,108.8,FALSE,FALSE,FALSE,FALSE
2015,6664,246,166,2015-02-13,239,2015-04-27,74,26,26,4.4,19.4,NA,0.297,16,2462,36.9,108.8,FALSE,FALSE,FALSE,FALSE
2016,8077,237,164,2016-02-11,233,2016-04-20,70,25,28.2,4.7,20.7,NA,0.278,21,3678,45.5,108.8,FALSE,FALSE,FALSE,FALSE
2017,4427,201,157,2017-02-04,229,2017-04-17,73,25,24.7,4.6,21.5,NA,0.252,5,609,13.8,108.8,FALSE,FALSE,FALSE,FALSE
2018,5772,210,164,2018-02-11,233,2018-04-21,70,24,27.1,4.5,19.1,NA,0.253,12,1797,31.1,108.8,FALSE,FALSE,FALSE,FALSE
2019,7229,232,158,2019-02-05,235,2019-04-23,78,26,25.3,4.3,17.5,NA,0.292,18,2845,39.4,108.8,FALSE,FALSE,FALSE,FALSE
2020,6058,213,169,2020-02-16,235,2020-04-22,67,26,23.4,4.5,17.9,NA,0.245,14,1895,31.3,108.8,FALSE,FALSE,FALSE,FALSE
2021,2445,206,152,2021-01-30,236,2021-04-24,85,23,31.2,4.6,20.2,NA,0.196,1,109,4.5,108.8,FALSE,FALSE,FALSE,FALSE
2022,6015,206,162,2022-02-09,222,2022-04-10,61,19,35.8,4.3,17.3,NA,0.286,13,2501,41.6,108.8,FALSE,FALSE,FALSE,FALSE
2023,2964,219,152,2023-01-30,252,2023-05-10,101,30,23.1,4.3,20.1,NA,0.217,0,0,0,108.8,FALSE,FALSE,FALSE,FALSE
2024,6469,219,168,2024-02-15,237,2024-04-24,70,21,30.3,4.8,19.3,NA,0.219,16,2757,42.6,108.8,FALSE,FALSE,FALSE,FALSE
2025,1827,187,161,2025-02-08,243,2025-05-01,83,28,25.9,4.8,20.5,NA,0.208,0,0,0,108.8,FALSE,FALSE,FALSE,FALSE
2026,4794,185,159,2026-02-06,232,2026-04-20,74,28,21.8,4.1,18.2,NA,0.318,4,449,9.4,108.8,FALSE,TRUE,FALSE,FALSE
2027,12,7,2,2026-09-02,11,2026-09-11,10,2,100,3.3,6,NA,0.25,0,0,0,108.8,TRUE,TRUE,TRUE,FALSE
