celda_id,area_km2,dtot,fuera,ini_dia,fin_dia,lon,df,n50f,dtot_base,anios,frec,dens,frpi,aq,valida,sin_estacion,valida_n50f,valida_base,anio_inicio,anio_fin,base_inicio,base_fin
c0795_m08295,1.02,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0805_m08295,17.572,34,0,189,223,35,27,NA,34,11,0.846,0.1488,4.5,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0815_m08295,24.687,51,0,196,223,28,34,NA,51,13,1,0.1589,7.6,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0815_m08305,8.411,12,0,NA,NA,NA,9,NA,12,7,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0825_m08295,2.692,4,0,NA,NA,NA,4,NA,4,4,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0825_m08305,34.742,60,0,176,225,50,46,NA,60,13,1,0.1328,5.5,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0825_m08315,28.184,23,0,NA,NA,NA,14,NA,23,9,0.692,0.0628,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0835_m08295,19.461,8,0,NA,NA,NA,7,NA,8,3,0.231,0.0316,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0835_m08305,98.126,103,1,181,213,33,66,0.288,103,13,1,0.0807,4.4,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0835_m08315,91.09,161,0,183,219,37,92,0.272,161,12,0.923,0.136,5.1,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0835_m08335,55.868,38,0,187,231,45,21,NA,38,9,0.692,0.0523,5,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0835_m08345,37.569,10,0,NA,NA,NA,6,NA,10,5,0.385,0.0205,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0835_m08355,6.4,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0835_m08365,1.93,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0845_m08285,12.797,3,0,NA,NA,NA,2,NA,3,1,0.077,0.018,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0845_m08295,120.763,45,0,168,213,46,33,NA,45,12,0.923,0.0287,5.9,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0845_m08305,121.786,106,0,139,212,74,69,0.29,106,12,0.923,0.067,4.3,NA,TRUE,FALSE,TRUE,TRUE,2013,2025,2013,2025
c0845_m08315,88.33,74,0,154,216,63,51,NA,74,12,0.923,0.0644,6,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0845_m08325,0.097,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0845_m08335,77.379,50,0,175,218,44,32,NA,50,11,0.846,0.0497,4.4,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0845_m08345,121.763,40,0,173,214,42,33,NA,40,11,0.846,0.0253,4.9,NA,TRUE,FALSE,FALSE,TRUE,2013,2025,2013,2025
c0845_m08355,121.759,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
c0845_m08365,85.41,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,2013,2025,2013,2025
